line,name,하차총승객수,gu_name,dong_name,full_name
02호선,봉천,572602.8823529412,관악구,청룡동,서울특별시 관악구 청룡동
02호선,신림,1590323.3235294118,관악구,서원동,서울특별시 관악구 서원동
02호선,신대방,661401.6176470588,관악구,신사동,서울특별시 관악구 신사동
02호선,구로디지털단지,1486266.9117647058,구로구,구로3동,서울특별시 구로구 구로3동
02호선,신도림,1355686.1470588236,구로구,구로5동,서울특별시 구로구 구로5동
02호선,문래,533525.7058823529,영등포구,문래동,서울특별시 영등포구 문래동
02호선,영등포구청,661382.7647058824,영등포구,당산1동,서울특별시 영등포구 당산1동
02호선,용답,70275.08823529411,성동구,용답동,서울특별시 성동구 용답동
02호선,신정네거리,263220.76470588235,양천구,신정3동,서울특별시 양천구 신정3동
02호선,을지로입구,974912.4117647059,중구,명동,서울특별시 중구 명동
02호선,을지로3가,780051.4411764706,중구,을지로동,서울특별시 중구 을지로동
02호선,을지로4가,459815.0,중구,을지로동,서울특별시 중구 을지로동
02호선,동대문역사문화공원,769347.3333333334,중구,광희동,서울특별시 중구 광희동
02호선,신당,584741.7352941176,중구,신당동,서울특별시 중구 신당동
02호선,한양대,222436.17647058822,성동구,사근동,서울특별시 성동구 사근동
02호선,뚝섬,565872.9117647059,성동구,성수1가2동,서울특별시 성동구 성수1가2동
02호선,성수,932344.5294117647,성동구,성수2가3동,서울특별시 성동구 성수2가3동
02호선,건대입구,1343460.0,광진구,화양동,서울특별시 광진구 화양동
02호선,구의,0.0,광진구,자양2동,서울특별시 광진구 자양2동
02호선,당산,997574.6176470588,영등포구,당산2동,서울특별시 영등포구 당산2동
02호선,합정,1192880.1470588236,마포구,합정동,서울특별시 마포구 합정동
02호선,홍대입구,1886196.5882352942,마포구,서교동,서울특별시 마포구 서교동
02호선,신촌,927044.6470588235,서대문구,신촌동,서울특별시 서대문구 신촌동
02호선,이대,349166.4705882353,마포구,대흥동,서울특별시 마포구 대흥동
02호선,아현,249459.4705882353,마포구,아현동,서울특별시 마포구 아현동
02호선,충정로,0.0,서대문구,충현동,서울특별시 서대문구 충현동
02호선,신답,45509.58823529412,성동구,용답동,서울특별시 성동구 용답동
02호선,까치산,715172.7058823529,강서구,화곡1동,서울특별시 강서구 화곡1동
02호선,시청,1059856.0294117648,중구,소공동,서울특별시 중구 소공동
02호선,서초,509854.5,서초구,서초3동,서울특별시 서초구 서초3동
02호선,왕십리,0.0,성동구,행당1동,서울특별시 성동구 행당1동
02호선,상왕십리,343816.3823529412,성동구,왕십리2동,서울특별시 성동구 왕십리2동
02호선,대림,0.0,영등포구,대림3동,서울특별시 영등포구 대림3동
02호선,신설동,489733.35294117645,동대문구,용신동,서울특별시 동대문구 용신동
02호선,도림천,34508.08823529412,구로구,신도림동,서울특별시 구로구 신도림동
02호선,양천구청,177806.4411764706,양천구,신정7동,서울특별시 양천구 신정7동
02호선,용두,0.0,동대문구,용신동,서울특별시 동대문구 용신동
03호선,양재,0.0,서초구,양재1동,서울특별시 서초구 양재1동
03호선,매봉,281996.82352941175,강남구,도곡2동,서울특별시 강남구 도곡2동
03호선,도곡,297053.32352941175,강남구,도곡2동,서울특별시 강남구 도곡2동
